Feature,UserStory,SubTask,SubTaskName,Team,Folder,FilePath,FileType,Generated,Status,Notes
F-04-01,—,ST-US053-BE-01,Consolidated database schema (synthesized from migrations),BE,database/schema,mod-04-schema.sql,sql,YES_SYNTHESIZED,Done,Concatenated from 8 migration files
F-04-01,US-052,ST-US052-FE-01,Design SearchPreviousChatsComponent UI with Search and Filter Fields,FE,frontend/app,frontend/app/api/research-chats/route.ts,typescript,YES,Done,
F-04-01,US-052,ST-US052-FE-01,Design SearchPreviousChatsComponent UI with Search and Filter Fields,FE,frontend/app,frontend/app/research-chats/page.tsx,typescript,YES,Done,
F-04-01,US-052,ST-US052-FE-01,Design SearchPreviousChatsComponent UI with Search and Filter Fields,FE,frontend/components,frontend/components/researchchats/SearchPreviousChatsComponent.tsx,typescript,YES,Done,
F-04-01,US-052,ST-US052-FE-01,Design SearchPreviousChatsComponent UI with Search and Filter Fields,FE,tests/frontend,frontend/tests/frontend/components/researchchats/SearchPreviousChatsComponent.test.tsx,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/controller,backend/controller/research-chat.controller.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/dto,backend/dto/get-research-chats-request.dto.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/dto,backend/dto/get-research-chats-response.dto.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/dto,backend/dto/research-chat-summary.dto.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/entities,backend/entities/research-chat.entity.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,database/migrations,database/migrations/036_create_research_chats.sql,sql,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,frontend/features,frontend/features/researchchats/researchchatsapi.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,tests/backend,backend/tests/US053/research-chat-filtering.testplan.md,markdown,YES,Done,
F-04-01,US-053,ST-US053-BE-02,Expose GET /api/research-chats endpoint in ResearchChatController,BE,backend/service,backend/service/research-chat.service.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-03,Integrate authentication middleware,BE,backend/middleware,backend/middleware/auth.middleware.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-04,"Write unit and integration tests for filtering, validation, and error handling",BE,tests/backend,backend/tests/controller/research-chat.controller.spec.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-04,"Write unit and integration tests for filtering, validation, and error handling",BE,tests/backend,backend/tests/service/research-chat.service.spec.ts,typescript,YES,Done,
F-04-01,US-054,ST-US054-FE-01,Design ChatDetailsPanel UI to Display Chat Details and Message History,FE,frontend/app,frontend/app/research-chats/[chatId]/page.tsx,typescript,YES,Done,
F-04-01,US-054,ST-US054-FE-01,Design ChatDetailsPanel UI to Display Chat Details and Message History,FE,frontend/components,frontend/components/researchchats/ChatDetailsPanel.tsx,typescript,YES,Done,
