Feature,UserStory,SubTask,SubTaskName,Team,Folder,FilePath,FileType,Generated,Status,Notes
(cross-cutting),—,(unattributed),—,—,frontend/app,frontend/app/layout.tsx,typescript,YES,Done,
(module-wide),—,ST-US053-BE-01,Consolidated database schema (synthesized from migrations),BE,database/schema,mod-04-schema.sql,sql,YES_SYNTHESIZED,Done,Concatenated from 8 migration files
F-04-01,US-052,ST-US052-FE-01,Design SearchPreviousChatsComponent UI with Search and Filter Fields,FE,frontend/app,frontend/app/api/research-chats/route.ts,typescript,YES,Done,
F-04-01,US-052,ST-US052-FE-01,Design SearchPreviousChatsComponent UI with Search and Filter Fields,FE,frontend/app,frontend/app/research-chats/page.tsx,typescript,YES,Done,
F-04-01,US-052,ST-US052-FE-01,Design SearchPreviousChatsComponent UI with Search and Filter Fields,FE,frontend/components,frontend/components/researchchats/SearchPreviousChatsComponent.tsx,typescript,YES,Done,
F-04-01,US-052,ST-US052-FE-01,Design SearchPreviousChatsComponent UI with Search and Filter Fields,FE,tests/frontend,frontend/tests/frontend/components/researchchats/SearchPreviousChatsComponent.test.tsx,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/controller,backend/controller/research-chat.controller.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/dto,backend/dto/get-research-chats-request.dto.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/dto,backend/dto/get-research-chats-response.dto.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/dto,backend/dto/research-chat-summary.dto.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,backend/entities,backend/entities/research-chat.entity.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,database/migrations,database/migrations/036_create_research_chats.sql,sql,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,frontend/features,frontend/features/researchchats/researchchatsapi.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-01,Implement ResearchChatService filtering logic,BE,tests/backend,backend/tests/US053/research-chat-filtering.testplan.md,markdown,YES,Done,
F-04-01,US-053,ST-US053-BE-02,Expose GET /api/research-chats endpoint in ResearchChatController,BE,backend/service,backend/service/research-chat.service.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-03,Integrate authentication middleware,BE,backend/middleware,backend/middleware/auth.middleware.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-04,"Write unit and integration tests for filtering, validation, and error handling",BE,tests/backend,backend/tests/controller/research-chat.controller.spec.ts,typescript,YES,Done,
F-04-01,US-053,ST-US053-BE-04,"Write unit and integration tests for filtering, validation, and error handling",BE,tests/backend,backend/tests/service/research-chat.service.spec.ts,typescript,YES,Done,
F-04-01,US-054,ST-US054-FE-01,Design ChatDetailsPanel UI to Display Chat Details and Message History,FE,frontend/app,frontend/app/research-chats/[chatId]/page.tsx,typescript,YES,Done,
F-04-01,US-054,ST-US054-FE-01,Design ChatDetailsPanel UI to Display Chat Details and Message History,FE,frontend/components,frontend/components/researchchats/ChatDetailsPanel.tsx,typescript,YES,Done,
F-04-02,US-055,ST-US055-FE-01,Implement ResearchInputForm with validations,FE,frontend/app,frontend/app/research-conversation/page.tsx,typescript,YES,Done,
F-04-02,US-056,ST-US056-BE-01,Implement POST /api/research/start endpoint,BE,backend/controller,backend/controller/research-conversation.controller.ts,typescript,YES,Done,
F-04-02,US-056,ST-US056-BE-01,Implement POST /api/research/start endpoint,BE,backend/dto,backend/dto/start-research-conversation-response.dto.ts,typescript,YES,Done,
F-04-02,US-056,ST-US056-BE-01,Implement POST /api/research/start endpoint,BE,backend/dto,backend/dto/start-research-conversation.dto.ts,typescript,YES,Done,
F-04-02,US-056,ST-US056-BE-02,Validate user authentication and input,BE,backend/service,backend/service/research-conversation.service.ts,typescript,YES,Done,
F-04-02,US-056,ST-US056-BE-03,Persist ResearchConversation and AIResponse entities,BE,backend/entities,backend/entities/ai-response.entity.ts,typescript,YES,Done,
F-04-02,US-056,ST-US056-BE-03,Persist ResearchConversation and AIResponse entities,BE,backend/entities,backend/entities/research-conversation.entity.ts,typescript,YES,Done,
F-04-02,US-056,ST-US056-BE-03,Persist ResearchConversation and AIResponse entities,BE,database/migrations,database/migrations/001_create_research_conversation.sql,sql,YES,Done,
F-04-02,US-056,ST-US056-BE-03,Persist ResearchConversation and AIResponse entities,BE,database/migrations,database/migrations/002_create_ai_response.sql,sql,YES,Done,
F-04-02,US-056,ST-US056-BE-06,[TBD-Future] Integrate with LawyerVerificationService when available,BE,backend/integration,backend/integration/lawyer-verification.service.stub.ts,typescript,YES,Done,
F-04-02,US-056,ST-US056-QA-01,Write unit and integration tests for new research conversation flow,QA,tests/backend,tests/backend/services/research-conversation.service.spec.ts,typescript,YES,Done,
F-04-02,US-057,ST-US057-IN-01,Define LawyerVerificationIntegrationClient interface,IN,backend/integration,backend/integration/lawyer-verification-integration-client.interface.ts,typescript,YES,Done,
F-04-02,US-057,ST-US057-IN-02,Implement requestLawyerVerification method (placeholder),IN,backend/integration,backend/integration/lawyer-verification-integration-client.stub.ts,typescript,YES,Done,
F-04-02,US-057,ST-US057-IN-03,[TBD-Future] Integrate with LawyerVerificationService when available,IN,backend/integration,backend/integration/lawyer-verification-integration-client.impl.ts,typescript,YES,Done,
F-04-02,US-057,ST-US057-IN-04,Persist verification request and update research conversation status,IN,backend/service,backend/service/verification-request-persistence.service.ts,typescript,YES,Done,
F-04-02,US-057,ST-US057-IN-05,Implement error handling and user notification,IN,backend/service,backend/service/verification-request-error-handler.service.ts,typescript,YES,Done,
F-04-02,US-057,ST-US057-QA-01,Write integration and error handling tests for lawyer verification request flow,QA,tests/backend,tests/backend/services/lawyer-verification-integration-client.stub.spec.ts,typescript,YES,Done,
F-04-02,US-057,ST-US057-QA-01,Write integration and error handling tests for lawyer verification request flow,QA,tests/backend,tests/backend/services/verification-request-error-handler.service.spec.ts,typescript,YES,Done,
F-04-02,US-057,ST-US057-QA-01,Write integration and error handling tests for lawyer verification request flow,QA,tests/backend,tests/backend/services/verification-request-persistence.service.spec.ts,typescript,YES,Done,
F-04-03,US-058,ST-US058-FE-01,Implement filter bar UI and button states,FE,frontend/components,frontend/components/researchchats/ResearchConversationFilterBar.tsx,typescript,YES,Done,
F-04-03,US-058,ST-US058-QA-01,"QA: Test filter bar, filter logic, and conversation list integration",QA,tests/backend,tests/backend/services/research-conversation-filter.testplan.md,markdown,YES,Done,
F-04-03,US-059,ST-US059-BE-01,Implement filter logic in ResearchConversationFilterService,BE,backend/controller,backend/controller/research-conversation-filter.controller.ts,typescript,YES,Done,
F-04-03,US-059,ST-US059-BE-01,Implement filter logic in ResearchConversationFilterService,BE,backend/dto,backend/dto/filter-research-conversations-request.dto.ts,typescript,YES,Done,
F-04-03,US-059,ST-US059-BE-01,Implement filter logic in ResearchConversationFilterService,BE,backend/dto,backend/dto/filter-research-conversations-response.dto.ts,typescript,YES,Done,
F-04-03,US-059,ST-US059-BE-01,Implement filter logic in ResearchConversationFilterService,BE,backend/dto,backend/dto/filter-research-conversations.dto.ts,typescript,YES,Done,
F-04-03,US-059,ST-US059-BE-01,Implement filter logic in ResearchConversationFilterService,BE,backend/dto,backend/dto/filtered-conversations-response.dto.ts,typescript,YES,Done,
F-04-03,US-059,ST-US059-BE-01,Implement filter logic in ResearchConversationFilterService,BE,backend/service,backend/service/research-conversation-filter.service.ts,typescript,YES,Done,
F-04-03,US-059,ST-US059-BE-01,Implement filter logic in ResearchConversationFilterService,BE,database/migrations,database/migrations/037_create_research_conversation.sql,sql,YES,Done,
F-04-03,US-059,ST-US059-BE-03,Write unit and integration tests for all filter scenarios,BE,backend/service,backend/service/research-conversation-filter.service.spec.ts,typescript,YES,Done,
F-04-03,US-059,ST-US059-BE-03,Write unit and integration tests for all filter scenarios,BE,tests/backend,tests/backend/services/research-conversation-filter.service.spec.ts,typescript,YES,Done,
F-04-03,US-060,ST-US060-FE-01,Implement empty state UI for conversation list,FE,frontend/components,frontend/components/researchchats/ResearchConversationList.tsx,typescript,YES,Done,
F-04-04,US-061,ST-US061-FE-01,Implement AIResponseViewer component to render AI response and confidence indicator,FE,frontend/app,frontend/app/ai-response/page.tsx,typescript,YES,Done,
F-04-04,US-061,ST-US061-FE-01,Implement AIResponseViewer component to render AI response and confidence indicator,FE,frontend/components,frontend/components/airesponse/AIResponseViewer.tsx,typescript,YES,Done,
F-04-04,US-061,ST-US061-FE-01,Implement AIResponseViewer component to render AI response and confidence indicator,FE,tests/frontend,frontend/tests/frontend/components/airesponse/AIResponseViewer.test.tsx,typescript,YES,Done,
F-04-04,US-062,ST-US062-BE-01,Implement input validation for researchQuestion,BE,backend/service,backend/service/ai-response.service.ts,typescript,YES,Done,
F-04-04,US-062,ST-US062-BE-01,Implement input validation for researchQuestion,BE,frontend/features,frontend/features/airesponse/airesponseapi.ts,typescript,YES,Done,
F-04-04,US-062,ST-US062-BE-05,Implement error handling and logging,BE,tests/frontend,frontend/tests/backend/services/ai-response.service.spec.ts,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-01,"Implement ""Request Lawyer Verification"" Button and Modal",FE,frontend/app,frontend/app/verification/request/page.tsx,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-01,"Implement ""Request Lawyer Verification"" Button and Modal",FE,frontend/components,frontend/components/verification/RequestLawyerVerificationButton.tsx,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-01,"Implement ""Request Lawyer Verification"" Button and Modal",FE,frontend/components,frontend/components/verification/RequestLawyerVerificationModal.tsx,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-01,"Implement ""Request Lawyer Verification"" Button and Modal",FE,frontend/features,frontend/features/verification/verificationapi.ts,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-01,"Implement ""Request Lawyer Verification"" Button and Modal",FE,tests/frontend,frontend/tests/frontend/components/verification/RequestLawyerVerificationButton.test.tsx,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-04,Display Available Verifications Using Backend-Provided Quota (TBD-Future),FE,frontend/components,frontend/components/verification/QuotaDisplay.tsx,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-04,Display Available Verifications Using Backend-Provided Quota (TBD-Future),FE,frontend/components,frontend/components/verification/useVerificationQuota.ts,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-04,Display Available Verifications Using Backend-Provided Quota (TBD-Future),FE,frontend/features,frontend/features/verification/QuotaDisplay.types.ts,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-04,Display Available Verifications Using Backend-Provided Quota (TBD-Future),FE,frontend/features,frontend/features/verification/useVerificationQuota.ts,typescript,YES,Done,
F-04-05,US-064,ST-US064-FE-04,Display Available Verifications Using Backend-Provided Quota (TBD-Future),FE,tests/frontend,frontend/tests/frontend/components/verification/QuotaDisplay.test.tsx,typescript,YES,Done,
F-04-05,US-065,ST-US065-BE-01,Implement API endpoint for lawyer verification request,BE,backend/controller,backend/controller/lawyer-verification-request.controller.ts,typescript,YES,Done,
F-04-05,US-065,ST-US065-BE-02,Implement LawyerVerificationRequestService.processRequest,BE,backend/service,backend/service/lawyer-verification-request.service.ts,typescript,YES,Done,
F-04-05,US-065,ST-US065-BE-05,Persist VerificationRequest entity,BE,tests/frontend,frontend/tests/backend/services/lawyer-verification-request.service.spec.ts,typescript,YES,Done,
F-04-06,US-067,ST-US067-FE-01,Implement VerifiedResponseView component UI,FE,frontend/components,frontend/components/verification/VerifiedResponseView.tsx,typescript,YES,Done,
